,date,time,x-pid,x-status,x-ctx,x-comment,new,hello
38,2017-10-28,08:43:55,10124,(s)2641173,<08:43:55:518>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
39,2017-10-28,08:44:01,10124,(s)2641173,<08:44:01:658>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
40,2017-10-28,08:45:16,10124,(s)2641173,<08:45:16:606>,USER,"[disconnectPreviousConnections, Name:cdgiimp1222: NewId:4702111234810528111: retryCounter:0: NewIP:182.73.155.114: NewMacAddress:B0-83-FE-B0-89-B0]:",Entered Function Current number of clients:7
41,2017-10-28,08:45:16,10124,(s)2641173,<08:45:16:606>,USER,[online_directory]:,"client connected. name:cdgiimp1222 id:4702111234810528111,182.73.155.114"
42,2017-10-28,08:45:16,10124,(s)2641173,<08:45:16:691>,USER,"[setValue:users_so,cdgiimp1222]:",Set shared object property
43,2017-10-28,08:45:25,10124,(s)2641173,<08:45:25:399>,USER,"[setValue:users_so,cdgiimp1222]:",Set shared object property
44,2017-10-28,08:46:19,10124,(s)2641173,<08:46:19:444>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
45,2017-10-28,08:46:38,10124,(s)2641173,<08:46:38:401>,USER,"[poll:4702111234609201519,202.88.252.51,fistmk1077]:",Polled from client. Printed only once in 100 polls.
46,2017-10-28,08:48:11,10124,(s)2641173,<08:48:11:652>,USER,"[disconnectPreviousConnections, Name:nitkh1134: NewId:4702111234860859759: retryCounter:0: NewIP:14.139.60.9: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:8
47,2017-10-28,08:48:11,10124,(s)2641173,<08:48:11:653>,USER,[online_directory]:,"client connected. name:nitkh1134 id:4702111234860859759,14.139.60.9"
48,2017-10-28,08:48:11,10124,(s)2641173,<08:48:11:718>,USER,"[setValue:users_so,nitkh1134]:",Set shared object property
49,2017-10-28,08:48:12,10124,(s)2641173,<08:48:12:560>,USER,"[setValue:users_so,nitkh1134]:",Set shared object property
50,2017-10-28,08:48:13,10124,(s)2641173,<08:48:13:968>,USER,"[poll:4702111234642755951,103.90.157.27,gistgap1294]:",Polled from client. Printed only once in 100 polls.
