chat_session_id,owner_id,title,group_id,lecture_id,is_private_chat,created_by_user_id,modified_by_user_id,created_date,modified_date,status_id
54,12598,M M Class 024 Session chat,NULL,771,Y,12598,12598,2017-08-25 17:56:35,2017-08-25 17:56:35,1
55,12723,M M Class 027 Session chat,NULL,778,Y,12723,12723,2017-08-26 9:00:51,2017-08-26 9:00:51,1
56,13517,Sunit Parmar_ Private chat,NULL,NULL,Y,13517,13517,2017-08-26 9:42:54,2017-08-26 9:42:54,1
57,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:15:21,2017-08-26 12:18:37,4
58,13512,Sunit Parmar_ Private chat,NULL,NULL,Y,13512,13512,2017-08-26 11:17:44,2017-08-26 11:17:44,1
59,13513,Ankita Chauhan_ Private chat,NULL,NULL,Y,13513,13513,2017-08-26 11:23:36,2017-08-26 11:23:36,1
60,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:23:37,2017-08-26 11:24:15,4
61,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:38:16,2017-08-26 13:36:40,4
62,13512,Ankita Chauhan_... Group chat,NULL,NULL,N,13512,13512,2017-08-26 11:38:29,2017-08-26 11:38:59,4
63,13014,M M Class 034 Session chat,NULL,792,Y,13014,13014,2017-08-26 14:18:28,2017-08-26 14:18:28,1
64,13028,M M Class 034 Session chat,NULL,792,Y,13028,13028,2017-08-26 14:38:53,2017-08-26 14:38:53,1
65,12421,M M Class 043 Session chat,NULL,810,Y,12421,12421,2017-08-26 15:39:54,2017-08-26 15:39:54,1
66,13988,Rajiv P_TPGIT Group chat,NULL,NULL,N,13988,13988,2017-08-27 11:43:25,2017-08-27 11:50:35,4
67,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 11:56:58,2017-08-27 11:56:58,1
68,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 11:58:08,2017-08-27 11:58:08,1
69,13988,Rajiv P_... Group chat,NULL,NULL,N,13988,13988,2017-08-27 12:03:46,2017-08-27 12:03:50,4
70,11901,M M Class 057 Session chat,NULL,842,Y,11901,11901,2017-08-27 12:20:30,2017-08-27 12:20:30,1
71,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 12:35:10,2017-08-27 12:35:10,1
72,11586,M M Class 062 Session chat,NULL,1024,Y,11586,11586,2017-08-27 12:37:34,2017-08-27 12:37:34,1
73,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 12:46:08,2017-08-27 12:46:08,1
74,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 12:56:45,2017-08-27 12:56:45,1
75,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 13:17:05,2017-08-27 13:17:05,1
76,11586,M M Class 062 Session chat,NULL,1024,Y,11586,11586,2017-08-27 13:18:53,2017-08-27 13:18:53,1
77,11386,M M Class 063 Session chat,NULL,854,Y,11386,11386,2017-08-27 13:37:32,2017-08-27 13:37:32,1
78,11421,M M Class 071 Session chat,NULL,870,Y,11421,11421,2017-08-27 14:49:47,2017-08-27 14:49:47,1
79,14524,M M Class 067 Session chat,NULL,862,Y,14524,14524,2017-08-27 15:05:40,2017-08-27 15:05:40,1
80,14543,M M Class 068 Session chat,NULL,864,Y,14543,14543,2017-08-27 15:57:59,2017-08-27 15:57:59,1
81,11385,M M Class 067 Session chat,NULL,862,Y,11385,11385,2017-08-27 16:23:20,2017-08-27 16:23:20,1
82,11421,M M Class 071 Session chat,NULL,870,Y,11421,11421,2017-08-27 16:36:36,2017-08-27 16:36:36,1
83,11591,M M Class 070 Session chat,NULL,868,Y,11591,11591,2017-08-27 16:37:14,2017-08-27 16:37:14,1
84,11421,M M Class 071 Session chat,NULL,870,Y,11421,11421,2017-08-27 17:08:52,2017-08-27 17:08:52,1
85,11421,M M Class 071 Session chat,NULL,870,Y,11421,11421,2017-08-27 17:30:50,2017-08-27 17:30:50,1
86,11394,M M Class 075 Session chat,NULL,879,Y,11394,11394,2017-08-28 10:29:21,2017-08-28 10:29:21,1
87,11394,M M Class 075 Session chat,NULL,879,Y,11394,11394,2017-08-28 11:13:39,2017-08-28 11:13:39,1
88,11394,M M Class 075 Session chat,NULL,879,Y,11394,11394,2017-08-28 11:13:57,2017-08-28 11:13:57,1
89,11394,M M Class 075 Session chat,NULL,879,Y,11394,11394,2017-08-28 11:14:51,2017-08-28 11:14:51,1
90,11394,M M Class 075 Session chat,NULL,879,Y,11394,11394,2017-08-28 11:31:07,2017-08-28 11:31:07,1
91,11394,M M Class 075 Session chat,NULL,879,Y,11394,11394,2017-08-28 11:43:17,2017-08-28 11:43:17,1
92,15814,M M Class 096 Session chat,NULL,922,Y,15814,15814,2017-08-28 15:10:16,2017-08-28 15:10:16,1
93,15780,M M Class 095 Session chat,NULL,920,Y,15780,15780,2017-08-28 15:34:17,2017-08-28 15:34:17,1
94,11392,M M Class 099 Session chat,NULL,959,Y,11392,11392,2017-08-29 9:26:58,2017-08-29 9:26:58,1
95,11392,M M Class 099 Session chat,NULL,959,Y,11392,11392,2017-08-29 9:33:37,2017-08-29 9:33:37,1
96,11392,M M Class 099 Session chat,NULL,959,Y,11392,11392,2017-08-29 9:53:37,2017-08-29 9:53:37,1
97,11392,M M Class 099 Session chat,NULL,959,Y,11392,11392,2017-08-29 10:18:58,2017-08-29 10:18:58,1
98,11617,M M Class 101 Session chat,NULL,969,Y,11617,11617,2017-08-29 10:56:34,2017-08-29 10:56:34,1
99,11617,M M Class 101 Session chat,NULL,969,Y,11617,11617,2017-08-29 11:09:40,2017-08-29 11:09:40,1
100,11615,M M Class 097 Session chat,NULL,924,Y,11615,11615,2017-08-29 11:16:07,2017-08-29 11:16:07,1
101,11615,M M Class 097 Session chat,NULL,924,Y,11615,11615,2017-08-29 11:16:28,2017-08-29 11:16:28,1
102,11616,M M Class 100 Session chat,NULL,967,Y,11616,11616,2017-08-29 12:02:08,2017-08-29 12:02:08,1
103,11616,M M Class 100 Session chat,NULL,967,Y,11616,11616,2017-08-29 12:09:07,2017-08-29 12:09:07,1
104,11616,M M Class 100 Session chat,NULL,967,Y,11616,11616,2017-08-29 12:09:28,2017-08-29 12:09:28,1
105,16443,M M Class 110 Session chat,NULL,989,Y,16443,16443,2017-08-29 13:07:59,2017-08-29 13:07:59,1
106,16444,M M Class 110 Session chat,NULL,989,Y,16444,16444,2017-08-29 13:08:12,2017-08-29 13:08:12,1
107,11424,M M Class 106 Session chat,NULL,979,Y,11424,11424,2017-08-29 14:02:26,2017-08-29 14:02:26,1
108,11424,M M Class 106 Session chat,NULL,979,Y,11424,11424,2017-08-29 14:19:03,2017-08-29 14:19:03,1
109,16899,M M Class 120 Session chat,NULL,1009,Y,16899,16899,2017-08-29 15:11:38,2017-08-29 15:11:38,1
110,11404,M M Class 119 Session chat,NULL,1005,Y,11404,11404,2017-08-29 16:11:55,2017-08-29 16:11:55,1
111,11418,M M Class 120 Session chat,NULL,1009,Y,11418,11418,2017-08-29 17:15:19,2017-08-29 17:15:19,1
112,11646,M M Class 123 Session chat,NULL,1047,Y,11646,11646,2017-08-30 10:07:05,2017-08-30 10:07:05,1
113,11648,M M Class 125 Session chat,NULL,1051,Y,11648,11648,2017-08-30 10:25:35,2017-08-30 10:25:35,1
